text,label
En area network illai,network_issue
Best plan heluva,plan_info
I want to register a complaint,complaint
How much data have I used today,data_usage
Meri problem solve nahi hui,complaint
Sabse zyada data konse plan mein hai,plan_info
Jio se Airtel mein shift karna hai,port_number
Check my balance,balance
Check my data balance,data_usage
Mera number recharge karo,recharge
Kitna data bacha hai,data_usage
Yaava plan chennagide,plan_info
Unnakku enna peyar,unknown
Data khatam bro,data_usage
Mere number ka balance check karo,balance
Register my complaint,complaint
Tell me my remaining balance,balance
Indru enna data use achu,data_usage
Mujhe ek achha plan suggest karo,plan_info
I have no signal on my phone,network_issue
Network badalna hai,port_number
Signal bahut kamzor hai,network_issue
What is the balance on my SIM,balance
SIM recharge maadi please,recharge
Recharge 499 on my number,recharge
Nanna data eshtu baaki ide,data_usage
Can you help me with something,unknown
Recharge jaldi karo yaar,recharge
Balance hella,balance
Data kab expire hoga,data_usage
How much credit do I have left,balance
Offer cheppandi,plan_info
Best offer sollu,plan_info
Account balance chudandi,balance
Naa number recharge cheyyandi,recharge
Airtel ge port maadi,port_number
Naa number ki pack pettandi,recharge
How much money is left,balance
Data balance sollu,data_usage
What is left in my account,balance
Please log my complaint,complaint
Kitna GB bacha hai,data_usage
Issue solve kaledu,complaint
Internet balance check pannu,data_usage
Plan details vendum,plan_info
Complaint file pannanum,complaint
28 din plan eshtu,plan_info
Ugh internet slow again,network_issue
Do a quick recharge for me,recharge
Jaldi recharge karo,recharge
Data check maadi,data_usage
Data check karo,data_usage
This is my third time calling about the same issue,complaint
How much internet do I have left,data_usage
Top up my SIM with 199,recharge
Naa SIM balance enta,balance
I network bitthu hogabeku,port_number
How do I move to another network,port_number
Which plan is good for heavy data users,plan_info
My issue is not resolved,complaint
I want to add a new plan,recharge
En number recharge pannu,recharge
Complaint karna hai,complaint
Sabse sasta plan konsa hai,plan_info
Enu gottilla,unknown
Mera data kitna bacha hai,data_usage
Port krna hai,port_number
Internet slow aagide,network_issue
Why is my internet so slow,network_issue
Data enna balance iruku,data_usage
How much data is left in my plan,data_usage
What is your name,unknown
Number port pannanum,port_number
Nanna account balance tori,balance
Net chal nahi raha bhai,network_issue
Network change pannanum,port_number
Eshtu balance ide,balance
Number mein balance daalo,recharge
Aaj kitna data use kiya,data_usage
Meeru evaru,unknown
Data eshtu undi,data_usage
Internet bilkul nahi chal raha,network_issue
I want to switch from Jio to Airtel,port_number
Plan dikhao,plan_info
Switch network provider,port_number
Which plan gives unlimited calls,plan_info
4G velaikagala,network_issue
Naku plan suggest cheyyandi,plan_info
Show me my balance,balance
No network coverage here,network_issue
What is my current balance,balance
Network change maadi,port_number
Data kab khatam hoga,data_usage
Nanna number recharge maadi,recharge
My net not working bro,network_issue
My 4G is not working,network_issue
Signal illa,network_issue
Internet dead again,network_issue
299 plan ki validity kya hai,plan_info
Network ledu,network_issue
Help me,unknown
Suggest a good plan for me,plan_info
200 rupees kulla plan irukka,plan_info
MNP kaise kare,port_number
Nenu enta data vadikindi,data_usage
Account la enna balance iruku,balance
Airtel ki port cheyyali,port_number
SIM recharge venum,recharge
28 day plan enna,plan_info
Mujhe recharge chahiye,recharge
I cannot make any calls,network_issue
Number port maadabeku,port_number
